size,cpu,cpu_scan,naive,naive_shared,efficient,efficient_shared,thrust
3072,0.0013,0.0091,0.088064,0.044032,0.121856,0.033792,0.064096
4096,0.0018,0.0105,0.060256,0.044032,0.133344,0.031968,0.02096
6144,0.0024,0.0221,0.055296,0.032768,0.113664,0.033792,0.02688
8192,0.0034,0.0209,0.069632,0.08592,0.128864,0.0256,0.032224
12288,0.0047,0.0328,0.073984,0.019456,0.132096,0.026624,0.022624
16384,0.0068,0.0415,0.073728,0.027648,0.113664,0.028672,0.026272
24576,0.0091,0.0586,0.082944,0.034336,0.147328,0.035296,0.022496
32768,0.0122,0.0764,0.091968,0.037696,0.144256,0.045856,0.02256
49152,0.0195,0.12,0.088224,0.039488,0.187168,0.037312,0.022336
65536,0.0236,0.1501,0.086144,0.037152,0.149344,0.038752,0.02672
98304,0.0354,0.2865,0.12496,0.047296,0.179168,0.048,0.03152
131072,0.0639,0.3093,0.099136,0.285216,0.187456,0.242752,0.03616
196608,0.0708,0.6436,0.105888,0.062272,0.243744,0.055584,0.02816
262144,0.0951,0.8163,0.133024,0.19072,0.234048,0.190112,0.04176
393216,0.1405,1.2453,0.13856,0.070976,0.234944,0.069088,0.038304
524288,0.2018,1.6234,0.164832,0.208224,0.257248,0.19728,0.221184
786432,0.2854,2.3561,0.261408,0.23216,0.331424,0.238112,0.234592
1048576,0.4245,3.3861,0.277408,0.264896,0.329824,0.255808,0.237024
1572864,0.6359,4.9302,0.395968,0.3232,0.44128,0.38992,0.25744
2097152,0.8325,6.7241,0.574048,0.399328,0.48032,0.456896,0.3024
3145728,1.4275,10.0968,1.32534,0.587136,0.873536,0.570304,0.305696
4194304,1.8381,14.205,3.34451,0.741376,0.9344,0.728864,0.36944
6291456,2.9856,21.2054,5.40378,1.11274,3.22666,1.09645,0.485184
8388608,4.6223,27.5709,7.25219,1.39206,3.41846,1.35005,0.581152
12582912,6.0661,44.4585,11.3744,1.95459,6.50637,1.94909,0.741664
16777216,7.9404,56.3866,15.3039,2.50666,6.78598,2.47245,0.825152
25165824,12.2277,82.3793,23.9073,3.81571,12.9065,3.77872,1.22595
33554432,15.955,110.401,32.1263,4.99917,13.5858,4.96144,1.42003
50331648,25.2836,164.625,50.353,7.4599,25.9464,7.43363,2.03187
67108864,33.9679,217.729,67.4602,10.0042,27.2807,9.88019,2.89523
100663296,52.6743,424.551,105.442,14.8669,52.0029,14.7922,3.80685
134217728,68.1733,496.852,141.238,19.772,54.6385,19.7114,5.0913
201326592,103.774,784.173,220.432,29.5404,104.172,29.4441,7.23987
268435456,142.772,1035.63,295.085,39.3284,109.501,39.1111,9.48141
402653184,208.532,1631.32,459.595,58.9123,208.603,58.4838,13.8966
536870912,264.462,2065.37,641.614,78.4562,245.023,78.0138,18.576
