size,cpu,naive,naive_shared,efficient,efficient_shared,thrust,efficient_bc
2560,0.0044,0.226272,0.057504,0.33792,0.044384,0.515072,0.366784
4096,0.0064,0.053792,0.028672,0.090112,0.029696,0.017248,0.025472
5120,0.0082,0.057344,0.0176,0.114688,0.029728,0.015904,0.029728
8192,0.0121,0.05632,0.01536,0.118784,0.017408,0.01536,0.041984
10240,0.0152,0.058368,0.015776,0.121856,0.039936,0.026144,0.017888
16384,0.0247,0.057344,0.024704,0.129024,0.028,0.019456,0.0256
20480,0.0306,0.06992,0.028352,0.15248,0.028544,0.016704,0.032512
32768,0.0491,0.079328,0.031008,0.11824,0.033536,0.021248,0.033376
40960,0.0613,0.088032,0.032608,0.1552,0.032704,0.020704,0.032992
65536,0.0977,0.080896,0.03248,0.1528,0.032608,0.020704,0.035904
81920,0.1183,0.101664,0.05008,0.2264,0.05104,0.026848,0.045728
131072,0.1987,0.115648,0.057024,0.195296,0.059808,0.027936,0.04672
163840,0.2416,0.108224,0.054816,0.21584,0.046464,0.02272,0.05184
262144,0.4252,0.1408,0.20432,0.2416,0.194112,0.216736,0.19136
327680,0.486,0.152352,0.070304,0.241312,0.06016,0.04,0.052896
524288,0.8641,0.17824,0.32496,0.355072,0.231872,0.232704,0.193568
655360,0.9799,0.187264,0.195776,0.307872,0.239328,0.232832,0.273312
1048576,1.5715,0.266592,0.235648,0.315296,0.217472,0.221376,0.273856
1310720,2.0512,0.330976,0.249632,0.416,0.247008,0.236448,0.272032
2097152,3.1497,0.492064,0.35904,0.407584,0.304896,0.28528,0.34688
2621440,3.9962,0.628768,0.429664,0.638816,0.343392,0.314432,0.388832
4194304,6.2335,3.09914,0.594688,0.639264,0.705504,0.404448,0.561248
5242880,7.8933,4.04547,0.66848,2.67466,0.59296,0.450496,0.69408
8388608,13.0189,6.54986,0.946912,2.67158,0.856096,0.560672,0.948544
10485760,15.6514,8.59318,1.08102,5.3543,1.08374,0.6968,1.12022
16777216,25.3015,13.8857,1.71616,5.32406,1.56806,0.902208,1.64118
20971520,31.6438,18.1386,2.03808,10.7381,1.80819,1.03478,2.01373
33554432,49.7021,29.3261,2.92397,10.7539,2.9215,1.59328,3.06198
41943040,62.6693,38.2396,3.64963,21.6328,3.43802,1.83587,3.49789
67108864,99.7978,61.7924,5.66477,21.6642,6.09514,2.80605,5.4272
83886080,93.2486,80.6312,7.04266,43.5336,7.30256,3.60006,6.76726
134217728,158.594,130.413,10.8408,43.4771,10.3556,5.77286,10.5105
167772160,182.18,169.447,14.568,87.1839,13.9265,8.47581,12.7961
268435456,391.752,273.776,20.3433,87.0316,18.9354,9.60928,19.6108
335544320,364.35,354.613,25.0568,174.497,24.3921,13.4681,24.5406
536870912,668.417,572.696,39.39,174.448,36.0545,18.4529,38.4708
