size,cpu,naive,naive_shared,efficient,efficient_shared,thrust
3072,0.0055,0.252928,0.060416,0.234496,0.028672,0.492608
4096,0.0063,0.056288,0.018432,0.11264,0.0184,0.016288
6144,0.0093,0.057344,0.018144,0.105472,0.018432,0.016672
8192,0.0122,0.055296,0.017664,0.112672,0.017664,0.01552
12288,0.019,0.059392,0.023552,0.126208,0.024832,0.02048
16384,0.0248,0.07168,0.023936,0.123904,0.024576,0.01536
24576,0.0365,0.076608,0.028544,0.134944,0.030112,0.028288
32768,0.0492,0.075296,0.029472,0.149984,0.072256,0.018528
49152,0.0751,0.079296,0.031136,0.165312,0.0312,0.01952
65536,0.0992,0.087776,0.047936,0.136256,0.032064,0.020096
98304,0.1518,0.088544,0.040288,0.171904,0.057408,0.02128
131072,0.1955,0.09888,0.0544,0.181088,0.05728,0.052096
196608,0.2952,0.094688,0.053216,0.201984,0.05472,0.022592
262144,0.3914,0.120928,0.17376,0.276384,0.185696,0.19968
393216,0.5896,0.131488,0.059904,0.226176,0.052608,0.024832
524288,0.7906,0.188544,0.19024,0.233376,0.171744,0.196992
786432,1.1876,0.22032,0.214016,0.301696,0.202944,0.216928
1048576,1.5447,0.255136,0.238816,0.330624,0.229344,0.231104
1572864,2.3883,0.362144,0.314688,0.381248,0.293536,0.254048
2097152,3.324,0.459072,0.342304,0.408704,0.356704,0.38464
3145728,4.7832,1.08522,0.44448,0.63264,0.572576,0.366336
4194304,6.3207,3.04749,0.509792,0.571808,0.514784,0.387744
6291456,9.3725,4.88864,0.754816,2.66067,0.746048,0.48272
8388608,12.9503,6.55552,0.866144,2.65808,0.880736,0.56416
12582912,19.1076,10.3684,1.3831,5.36896,1.26096,0.835488
16777216,24.7164,13.9292,1.50336,5.36611,1.57053,0.891648
25165824,37.5645,21.9633,2.2553,10.7503,2.11453,1.22634
33554432,49.2206,29.5028,2.8047,10.7659,2.79482,1.49558
50331648,74.7537,46.3807,4.08198,21.706,3.91619,2.15946
67108864,98.6668,62.1958,5.27565,21.6449,5.08112,2.62912
100663296,149.065,97.4918,7.53766,43.5852,7.36979,3.76774
134217728,197.952,130.672,9.83632,43.5488,9.85171,4.96563
201326592,294.915,204.167,14.807,87.1047,13.9149,7.2961
268435456,395.23,274.106,19.2613,87.2874,18.5865,9.50931
402653184,592.198,427.905,28.2525,174.787,27.1303,13.546
536870912,786.045,573.559,37.4997,174.68,35.9954,17.9493
