size,cpu,cpu_scan,naive,naive_shared,efficient,efficient_shared,thrust
3072,0.0013,0.0111,0.121632,0.033792,0.113376,0.045056,0.059616
4096,0.0021,0.0266,0.06656,0.051264,0.105472,0.036864,0.034336
6144,0.0026,0.0233,0.067584,0.031744,0.125952,0.033792,0.033472
8192,0.0035,0.0211,0.06656,0.032896,0.118784,0.022528,0.02688
12288,0.0048,0.0327,0.060416,0.021504,0.11776,0.022528,0.026432
16384,0.0061,0.0391,0.065536,0.021504,0.111616,0.028672,0.02784
24576,0.0089,0.0617,0.083232,0.038944,0.143392,0.035936,0.026272
32768,0.0126,0.0772,0.084032,0.035232,0.17104,0.046496,0.022368
49152,0.0172,0.1197,0.094592,0.047136,0.202112,0.048288,0.0384
65536,0.0227,0.1708,0.093952,0.039168,0.145568,0.037504,0.033504
98304,0.0379,0.2193,0.121888,0.0496,0.18416,0.051328,0.036832
131072,0.045,0.4213,0.103936,0.312608,0.192832,0.248192,0.037312
196608,0.0662,0.7059,0.119232,0.055264,0.221888,0.055104,0.034176
262144,0.0914,0.786,0.141248,0.207776,0.241472,0.200608,0.02832
393216,0.1326,1.2279,0.143456,0.068416,0.262368,0.067808,0.033504
524288,0.1809,1.589,0.172032,0.200768,0.274176,0.199648,0.249696
786432,0.3164,2.363,0.266688,0.25328,0.327008,0.220576,0.230304
1048576,0.3924,3.4468,0.294144,0.341472,0.359168,0.286912,0.264256
1572864,0.6602,4.9372,0.422752,0.37792,0.455872,0.331392,0.289408
2097152,0.8265,6.5526,0.613056,0.46448,0.510496,0.435936,0.277536
3145728,1.3339,10.1929,1.34246,0.603392,0.819808,0.560768,0.339424
4194304,1.7607,13.6394,3.42582,0.80048,0.94,0.74656,0.432096
6291456,2.911,20.0172,5.40643,1.18547,3.18448,1.1263,0.492928
8388608,3.8091,27.1099,7.2287,1.47123,3.36032,1.42675,0.59152
12582912,5.6514,67.2436,11.3581,2.12419,6.34742,1.94749,0.71216
16777216,7.57,53.7403,15.2073,2.64835,6.66781,2.57152,0.864352
25165824,11.7117,81.3588,23.8866,3.92826,12.7459,3.74944,1.15101
33554432,15.2098,113.382,31.9894,5.17469,13.4429,4.99165,1.45098
50331648,26.4545,171.285,50.0827,7.71594,25.6651,7.38973,2.04675
67108864,31.2029,218.54,67.0985,10.2292,26.9635,9.82339,2.64758
100663296,47.354,330.817,105.276,15.2959,51.3982,14.661,3.83891
134217728,64.572,441.827,140.647,20.3083,54.0197,19.5401,5.04973
201326592,98.0628,657.447,220.113,30.4036,103.033,29.0879,7.35971
268435456,125.058,893.701,294.669,40.7653,108.355,38.8364,9.69309
402653184,194.934,1585.56,459.309,60.6945,205.913,58.2411,13.5053
536870912,261.141,1992.57,675.005,121.566,257.378,118.28,18.5945
