size,cpu,cpu_scan,naive,naive_shared,efficient,efficient_shared,thrust,efficient_bc
2560,0.0012,0.0087,0.090272,0.033568,0.110592,0.041984,0.063616,0.150528
4096,0.0018,0.0308,0.06656,0.03584,0.10752,0.03072,0.0264,0.028768
5120,0.0025,0.0223,0.067584,0.034816,0.139264,0.03584,0.026976,0.027648
8192,0.0038,0.0247,0.065536,0.023616,0.10752,0.033792,0.026496,0.025376
10240,0.0048,0.026,0.08416,0.03584,0.15568,0.034816,0.031104,0.027648
16384,0.0063,0.0444,0.073728,0.021504,0.119808,0.029696,0.021952,0.022528
20480,0.0077,0.0529,0.07552,0.036704,0.152576,0.037088,0.034496,0.036864
32768,0.0132,0.0867,0.084672,0.036576,0.162848,0.035776,0.021824,0.040512
40960,0.0159,0.0975,0.093472,0.039552,0.189664,0.04752,0.034272,0.03872
65536,0.0249,0.1869,0.088096,0.039904,0.191936,0.048448,0.033024,0.03888
81920,0.0332,0.196,0.118304,0.048768,0.187008,0.050176,0.034752,0.052896
131072,0.0548,0.5008,0.120704,0.382944,0.19904,0.31584,0.038688,0.217088
163840,0.0646,0.66,0.119744,0.063392,0.255008,0.06912,0.034528,0.065984
262144,0.1107,1.0145,0.17632,0.279392,0.300032,0.339296,0.052256,0.186048
327680,0.1414,1.296,0.198624,0.110976,0.289056,0.06448,0.049792,0.079968
524288,0.2984,2.2207,0.17184,0.205344,0.302496,0.202656,0.227552,0.210784
655360,0.2561,2.036,0.23456,0.277344,0.339008,0.210048,0.229632,0.228096
1048576,0.4073,3.4592,0.291968,0.255648,0.327168,0.32128,0.2504,0.283072
1310720,0.517,5.1976,0.361312,0.427488,0.454144,0.2784,0.310784,0.3088
2097152,1.058,9.6415,0.615712,0.595392,0.48784,0.596768,0.348288,0.45792
2621440,1.4698,11.2917,0.762272,0.542144,0.810784,0.520672,0.355136,0.5112
4194304,2.5418,20.2336,3.42867,0.847136,1.11491,0.748448,0.425696,0.805472
5242880,2.8968,17.4356,4.50813,0.975808,3.06941,0.955104,0.454432,0.997088
8388608,4.9472,42.292,7.2305,1.48448,3.3775,1.45974,0.682272,1.52307
10485760,6.2778,41.5302,9.43245,1.88406,6.21098,1.6823,0.762176,1.8031
16777216,8.5674,62.5505,15.21,2.75382,6.6911,2.59834,1.01203,2.76374
20971520,9.9096,76.3174,19.8196,3.28867,12.448,3.3023,0.984864,3.24979
33554432,21.1533,139.442,31.9743,5.25904,13.3907,5.01434,1.53501,5.1647
41943040,42.0454,243.069,41.5516,6.82083,24.9642,6.17226,3.42749,6.34755
67108864,64.6382,353.76,67.2992,10.2911,26.9957,9.87728,2.73946,10.1461
83886080,78.7041,480.299,87.3361,12.8025,50.0968,12.4986,3.31482,12.6162
134217728,134.702,711.82,140.765,20.6088,54.113,19.5384,6.02419,20.1043
167772160,158.223,962.096,182.694,25.4464,100.468,24.4734,6.16938,25.105
268435456,250.693,1571.6,323.866,41.1403,108.356,39.3711,9.67782,40.1724
335544320,305.791,1946.59,381.45,51.1945,201.015,48.6789,13.6189,50.2798
536870912,509.834,2773.56,732.623,107.198,247.852,103.821,19.2227,108.038
