size,cpu,cpu_scan,naive,naive_shared,efficient,efficient_shared,thrust
3072,0.0014,0.0094,0.182272,0.069632,0.190464,0.059392,0.151584
4096,0.0018,0.0111,0.144384,0.059392,0.187392,0.058368,0.057056
6144,0.0026,0.0214,0.112928,0.057344,0.19456,0.059392,0.056672
8192,0.0035,0.0205,0.125952,0.058368,0.227328,0.05744,0.05632
12288,0.0089,0.0391,0.068608,0.026432,0.22528,0.057344,0.057952
16384,0.0064,0.0416,0.154624,0.041984,0.2048,0.041984,0.056416
24576,0.0091,0.0603,0.12624,0.039232,0.150304,0.038016,0.035264
32768,0.0221,0.0735,0.07872,0.038944,0.1536,0.03872,0.066016
49152,0.0175,0.1257,0.080192,0.043488,0.16896,0.044032,0.032064
65536,0.0233,0.1542,0.144352,0.047872,0.168032,0.05216,0.03424
98304,0.0419,0.2911,0.172928,0.091008,0.253664,0.070592,0.04144
131072,0.074,0.628,0.141152,0.270016,0.2312,0.279104,0.07232
196608,0.0665,0.5547,0.178304,0.080608,0.263616,0.067424,0.061888
262144,0.0928,0.8178,0.145344,0.203584,0.254848,0.190784,0.061184
393216,0.1513,1.191,0.211744,0.084928,0.313024,0.08672,0.077152
524288,0.1839,1.72,0.240288,0.25792,0.331168,0.225312,0.256288
786432,0.2973,2.5293,0.345152,0.47568,0.385568,0.292288,0.274496
1048576,0.5416,4.1923,0.442528,0.422656,0.374816,0.397088,0.263584
1572864,0.6266,5.1147,0.655744,0.378208,0.519104,0.331392,0.265344
2097152,0.928,6.9805,0.919968,0.546848,0.5712,0.432608,0.294304
3145728,1.377,10.5244,1.48666,0.790016,0.971648,0.61936,0.306752
4194304,2.168,13.5836,3.70493,0.897696,1.02221,0.78144,0.34464
6291456,2.9949,20.4111,5.74317,1.41658,3.2719,1.12378,0.506208
8388608,4.0062,44.4793,7.67632,1.75824,3.36797,1.45718,0.60016
12582912,6.3095,41.2995,11.9874,2.46611,6.40442,2.08048,0.76528
16777216,8.4014,53.6251,15.9896,3.27718,6.74368,2.7184,0.937152
25165824,11.4752,88.02,24.9796,4.77539,12.8265,3.94723,1.25389
33554432,15.7978,111.783,33.4588,6.3697,13.5605,5.324,1.54365
50331648,24.5608,174.381,52.0708,9.31267,25.7992,7.84499,2.2479
67108864,32.2252,222.032,69.9886,12.3831,27.2148,10.3478,2.72326
100663296,49.6161,337.068,108.825,18.4044,51.7305,15.3846,3.96723
134217728,64.9481,456.435,146.017,24.6125,54.5361,20.647,4.9617
201326592,96.8475,676.677,227.166,36.7594,103.594,30.6294,7.17181
268435456,130.18,898.95,304.796,48.9823,109.263,40.8846,9.29274
402653184,205.469,1672.31,472.248,73.2601,207.321,61.0511,13.4351
536870912,265.059,2063.69,662.137,124.712,244.266,107.422,18.6073
