size,cpu,naive,naive_shared,efficient,efficient_shared,thrust
3072,0.0047,0.222848,0.142336,0.349408,0.035584,0.529408
4096,0.0064,0.055296,0.023552,0.212576,0.05632,0.038912
6144,0.0097,0.121184,0.050624,0.19968,0.039968,0.038656
8192,0.0126,0.096256,0.054272,0.186368,0.038912,0.0368
12288,0.0185,0.098304,0.037984,0.224256,0.038912,0.037888
16384,0.024,0.083008,0.031072,0.135168,0.024576,0.021504
24576,0.0369,0.062528,0.067584,0.158848,0.044064,0.02608
32768,0.0475,0.075712,0.032768,0.153088,0.03408,0.044928
49152,0.0742,0.08512,0.034784,0.189952,0.034176,0.020768
65536,0.0971,0.096,0.0584,0.198496,0.034368,0.029184
98304,0.148,0.109056,0.067008,0.20544,0.059584,0.033696
131072,0.1975,0.145696,0.052896,0.211776,0.0528,0.036096
196608,0.2937,0.132896,0.054656,0.250304,0.066144,0.025248
262144,0.3889,0.133184,0.26096,0.23952,0.183232,0.232608
393216,0.5898,0.17792,0.081696,0.270144,0.070592,0.0584
524288,0.7841,0.221024,0.215776,0.285088,0.5264,0.899424
786432,1.1836,0.315072,0.252032,0.362688,0.229088,0.270784
1048576,1.5811,0.404768,0.276544,0.385088,0.306528,0.234272
1572864,2.3963,0.60176,0.376832,0.466432,0.402272,0.323744
2097152,3.2022,0.782656,0.4328,0.427392,0.350592,0.328544
3145728,4.6762,1.21142,0.576448,0.782272,0.449504,0.426112
4194304,6.1885,3.37482,0.713152,0.669376,0.691232,0.43424
6291456,9.2397,5.19322,0.898272,2.65046,0.77104,0.451104
8388608,12.5253,6.96227,1.16979,2.65968,0.873216,0.555136
12582912,18.6591,10.8675,1.70365,5.32986,1.22915,0.726656
16777216,24.4936,14.6138,2.04355,5.32054,2.40822,0.941536
25165824,37.6058,22.7881,3.10902,10.9258,2.22512,1.18995
33554432,49.1676,30.6552,3.84198,10.7188,2.9409,1.50362
50331648,73.8698,47.9088,5.66774,21.6166,4.18061,2.05443
67108864,99.0911,64.3479,7.2671,21.5979,5.35555,2.76592
100663296,148.962,100.483,10.8595,43.3405,7.69152,3.84992
134217728,190.715,134.902,14.0028,43.3333,9.97229,4.9975
201326592,292.648,210.617,20.3606,86.8955,14.3833,7.25936
268435456,396.883,282.462,27.3011,86.894,19.2513,9.53891
402653184,587.943,440.068,40.466,173.901,28.2708,13.6834
536870912,768.047,590.121,53.9422,173.816,37.8205,18.0256
