size,cpu,naive,naive_shared,efficient,efficient_shared,thrust
3072,0.005,0.212672,0.057344,0.22016,0.036864,0.504832
4096,0.0063,0.057344,0.019456,0.1024,0.019456,0.0168
6144,0.0093,0.057344,0.016768,0.109568,0.03072,0.016256
8192,0.0128,0.053248,0.016416,0.108544,0.017728,0.01536
12288,0.0185,0.059392,0.027648,0.118784,0.018432,0.02048
16384,0.0248,0.062464,0.024576,0.116736,0.01536,0.01472
24576,0.0356,0.082944,0.03088,0.143008,0.031616,0.021472
32768,0.0487,0.077312,0.031104,0.15664,0.032128,0.020896
49152,0.0743,0.08416,0.032352,0.200192,0.032448,0.020064
65536,0.0979,0.089024,0.032704,0.161888,0.032576,0.019616
98304,0.1474,0.092416,0.054816,0.20256,0.060736,0.02128
131072,0.1926,0.09216,0.055424,0.183072,0.057248,0.020736
196608,0.2929,0.107232,0.047392,0.21184,0.053536,0.022816
262144,0.3934,0.1256,0.176768,0.220064,0.174048,0.23264
393216,0.592,0.13392,0.076,0.246784,0.050912,0.025408
524288,0.7877,0.156352,0.187616,0.263968,0.182496,0.212576
786432,1.3474,0.239072,0.231808,0.333056,0.213952,0.236736
1048576,1.5407,0.264832,0.22592,0.301728,0.252,0.287296
1572864,2.4231,0.387232,0.315008,0.420512,0.278336,0.249376
2097152,3.1694,0.493792,0.371936,0.42368,0.308416,0.28896
3145728,4.7814,1.09539,0.46112,0.661888,0.426688,0.36336
4194304,6.1853,3.09622,0.614848,0.626464,0.522048,1.20963
6291456,9.2136,4.88157,0.735392,2.67651,0.701728,0.494528
8388608,12.336,6.55402,0.928288,2.66579,0.871264,0.554336
12582912,18.4709,10.3541,1.34234,5.33286,1.26726,0.768896
16777216,24.4829,13.8828,1.66336,5.33296,1.50704,0.927456
25165824,36.3942,21.8667,2.2697,10.7378,2.0968,1.19133
33554432,49.8895,29.3268,2.92467,10.7266,2.74138,1.47315
50331648,72.3235,46.0951,4.27078,21.6113,3.90205,2.15606
67108864,99.227,62.0066,5.4183,21.5989,5.39002,2.79651
100663296,148.931,97.2502,8.09296,43.4403,7.35763,3.83418
134217728,196.431,130.396,10.4211,43.4423,9.49757,4.7456
201326592,295.909,203.932,15.2442,87.0753,13.6372,7.22259
268435456,388.635,273.617,20.0355,87.0593,18.2905,9.34355
402653184,577.463,427.348,29.6956,174.392,26.9955,13.4585
536870912,776.849,572.699,39.3133,174.399,36.0767,18.0709
